"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"193",193,211.19,"G07L","G",200,256.19,1.0092,1.006,13.3333333333333,7.11111111111131,79.5555555555553
"194",194,194.88,"G08L","G",200,239.82,1.0086,1.006,13.351134846462,5.78549176680003,80.863373386738
"195",195,201.96,"G09L","G",200,247.12,1.0099,1.006,13.2860938883968,8.63596102745796,78.0779450841452
"196",196,210.34,"G10L","G",200,255.21,1.0101,1.0063,14.0405616224648,8.46891018497888,77.4905281925563
"197",197,195.53,"G11R","G",200,240.36,1.01,1.007,15.6145438322549,6.69194735668104,77.693508811064
"198",198,213.73,"G12R","G",200,255.71,1.0095,1.0072,17.1510242972846,5.47879942829911,77.3701762744163
"199",199,175.4,"G13L","G",200,220.3,1.012,1.0085,18.9309576837415,7.79510022271728,73.2739420935412
"200",200,201.96,"G14R","G",200,246.75,1.0133,1.0099,22.1031480241126,7.59098012949334,70.3058718463941
"201",201,215.1,"G15R","G",200,255.29,1.0138,1.0095,23.6377208260763,10.6991789002239,65.6631002736998
"202",202,201.75,"G16R","G",200,246.75,1.0133,1.009,19.9999999999998,9.55555555555599,70.4444444444442
"203",203,214.79,"G17R","G",200,258.33,1.014,1.01,22.9673863114378,9.18695452457511,67.8456591639871
"204",204,202.06,"G18R","G",200,246.96,1.0152,1.0109,24.2761692650332,9.5768374164815,66.1469933184853
"205",205,211.38,"G19L","G",200,258.92,1.011,1.0075,15.7761884728651,7.36222128733663,76.8615902397983
"206",206,174.44,"G20L","G",200,219.62,1.01,1.007,15.4935812306328,6.64010624170012,77.8663125276671
"207",207,194.96,"G21L","G",200,239.26,1.0112,1.0075,16.9300225733636,8.35214446952605,74.7178329571104
"208",208,211.19,"G22L","G",200,256.62,1.0038,1.0012,2.64142637024013,5.72309046885304,91.6354831609068
"209",209,194.88,"G23L","G",200,239.84,1.0052,1.003,6.67259786476844,4.89323843416415,88.4341637010674
"210",210,201.96,"G24R","G",200,246.61,1.0095,1.0055,12.3180291153417,8.95856662933931,78.723404255319
"211",1,212.18,"CS25LRX","CS",0,257.54,1.007,1.0035,7.71604938271618,7.71604938271568,84.5679012345681
"212",2,210.02,"CS26LAX","CS",0,259.5,1.0065,1.0035,7.07356507679883,6.06305578011296,86.8633791430882
"213",3,194.88,"CS27RXX","CS",0,240.24,1.005,1.0036,7.93650793650804,3.08641975308607,88.9770723104059
"214",4,201.75,"CS28RRX","CS",0,246.4,1.0062,1.004,8.95856662933931,4.92721164613657,86.1142217245241
"215",5,214.22,"CS29RXX","CS",0,256.1,1.0065,1.004,9.55109837631328,5.96943648519567,84.4794651384911
"216",6,210.34,"CS30CAX","CS",0,260.03,1.0064,1.0039,7.84866170255588,5.03119339907416,87.12014489837
